13/2020,16,0
14/2020,11,2
15/2020,15,2
16/2020,29,1
17/2020,82,4
18/2020,448,5
19/2020,987,19
20/2020,1547,20
21/2020,1996,33
22/2020,1674,63
23/2020,2167,59
24/2020,3894,108
25/2020,5583,132
26/2020,4870,157
27/2020,6442,178
28/2020,6285,171
29/2020,7026,157
30/2020,9192,192
31/2020,7460,145
32/2020,4547,129
33/2020,3430,119
34/2020,2551,75
35/2020,2028,68
36/2020,1351,46
37/2020,1134,60
38/2020,1007,31
39/2020,1145,39
40/2020,1085,36
41/2020,1499,38
42/2020,1618,40
43/2020,2527,39
44/2020,680,38
45/2020,900,33
46/2020,754,18
47/2020,1109,17
48/2020,2418,26
49/2020,2347,29
50/2020,6618,32
51/2020,4570,40
52/2020,5124,47
53/2020,4339,36
1/2021,7306,63
2/2021,6493,77
3/2021,4622,79
4/2021,4462,54
5/2021,3473,53
6/2021,4221,43
7/2021,3106,37
8/2021,2934,49
9/2021,3642,58
10/2021,4076,92
11/2021,6339,152
12/2021,6671,154
13/2021,6000,161
14/2021,5851,172
15/2021,6461,185
16/2021,6420,186
17/2021,7043,187
18/2021,7283,196
19/2021,6229,198
20/2021,7241,191
21/2021,10143,167
22/2021,8777,146
23/2021,7833,165
24/2021,6393,162
25/2021,5037,119
26/2021,3306,97
27/2021,3226,59
28/2021,2115,55
29/2021,2227,34
30/2021,1416,19
31/2021,1287,26
32/2021,1272,11
33/2021,256,17
34/2021,306,20
35/2021,161,17
36/2021,99,2
37/2021,192,1
38/2021,160,4
39/2021,147,3
40/2021,87,5
41/2021,89,4
42/2021,102,6
43/2021,72,3
44/2021,58,4
45/2021,67,2
46/2021,69,5
47/2021,-499,3
48/2021,120,4
49/2021,81,4
50/2021,41,4
51/2021,44,1
52/2021,57,1
53/2021,1411,16
1/2022,276,4
2/2022,1083,4
3/2022,3075,7
4/2022,7326,17
5/2022,12706,37
6/2022,10312,40
7/2022,4624,44
8/2022,2333,34
9/2022,888,22
10/2022,1222,18
11/2022,1372,13
12/2022,1329,10
13/2022,1108,14
14/2022,521,12
15/2022,181,6
16/2022,111,3
17/2022,71,1
18/2022,68,1
19/2022,110,1
20/2022,109,1
21/2022,76,2
22/2022,89,0
23/2022,185,2
24/2022,372,3
25/2022,1054,2
26/2022,1761,5
27/2022,3113,8
28/2022,3188,16
29/2022,2395,18
30/2022,1384,10
31/2022,539,6
32/2022,346,4
33/2022,649,4
34/2022,109,3
35/2022,199,2
36/2022,32,2
37/2022,19,1
38/2022,7,0
39/2022,10,2
40/2022,12,3
41/2022,2,1
42/2022,8,1
43/2022,2,0
44/2022,4,1
45/2022,36,1
46/2022,530,1
47/2022,2778,2
48/2022,4021,7
49/2022,2962,13
50/2022,2835,9
51/2022,1410,6
52/2022,799,1
1/2023,211,8
2/2023,448,5
3/2023,453,2
4/2023,92,3
5/2023,73,0
6/2023,26,2
7/2023,25,0
8/2023,24,0
9/2023,59,0
10/2023,67,0
11/2023,35,0
12/2023,36,0
13/2023,106,1
14/2023,68,0
15/2023,184,1
16/2023,181,0
17/2023,261,0
18/2023,277,0
19/2023,562,0
20/2023,457,3
21/2023,339,2
22/2023,235,2
23/2023,151,3
24/2023,138,4
25/2023,55,5
26/2023,58,5
27/2023,78,2
28/2023,81,1
29/2023,30,2
30/2023,13,0
31/2023,8,2
32/2023,14,1
33/2023,16,0
34/2023,13,0
35/2023,30,0
36/2023,15,0
37/2023,21,2
38/2023,17,0
39/2023,22,0
40/2023,28,0
41/2023,15,1
42/2023,26,0
43/2023,22,0
44/2023,19,0
45/2023,54,0
46/2023,60,0
47/2023,80,0
48/2023,116,0
49/2023,142,0
50/2023,341,0
51/2023,546,1
52/2023,746,0
1/2024,593,0
2/2024,628,1
3/2024,419,2
4/2024,260,2
5/2024,123,1
6/2024,67,3
7/2024,10,0
8/2024,71,2
9/2024,46,3
10/2024,29,3
11/2024,23,2
12/2024,20,2
13/2024,6,0
14/2024,6,0
15/2024,2,1
16/2024,6,0
17/2024,1,0
18/2024,4,0
19/2024,0,0
20/2024,2,0
21/2024,1,0
22/2024,2,0
23/2024,12,0
24/2024,16,1
25/2024,33,0
26/2024,22,0
27/2024,23,0
28/2024,46,0
29/2024,28,1
30/2024,27,2
31/2024,10,1
32/2024,12,1
33/2024,15,1
34/2024,12,0
35/2024,8,0
36/2024,8,1
37/2024,6,1
38/2024,2,0
39/2024,3,0
40/2024,3,0
41/2024,0,0
42/2024,3,2
43/2024,7,1
44/2024,3,1
45/2024,9,1
46/2024,5,1
47/2024,9,0
48/2024,4,0
49/2024,21,0
50/2024,34,0
51/2024,60,0
52/2024,0,0
